type,Status,Amount_In_Dollars,Original_Date,Fee_In_Dollars,Market_Ticker,Direction,Order_Type,Price_In_Cents,Result
Trade,Filled,-8.00,2026-05-13 03:06:00,0.34,KXBTC15M,no,market,40,loss
Settlement,Settled,0.00,2026-05-13 03:21:00,0.00,KXBTC15M,no,,40,loss
Trade,Filled,-2.60,2026-05-12 23:14:00,0.14,KXBTCD,no,market,26,loss
Settlement,Settled,0.00,2026-05-12 23:29:00,0.00,KXBTCD,no,,26,loss
Trade,Filled,-26.40,2026-05-13 01:06:00,0.63,KXBTC15M,no,market,66,loss
Settlement,Settled,0.00,2026-05-13 01:21:00,0.00,KXBTC15M,no,,66,loss
Trade,Filled,-8.00,2026-05-12 18:06:00,0.34,KXBTCD,yes,market,40,loss
Settlement,Settled,0.00,2026-05-12 18:21:00,0.00,KXBTCD,yes,,40,loss
Trade,Filled,-4.00,2026-05-14 00:13:00,0.17,KXBTCD,yes,market,40,loss
Settlement,Settled,0.00,2026-05-14 00:28:00,0.00,KXBTCD,yes,,40,loss
Trade,Filled,-26.80,2026-05-13 19:31:00,0.62,KXHIGHNY,yes,market,67,loss
Settlement,Settled,0.00,2026-05-13 19:46:00,0.00,KXHIGHNY,yes,,67,loss
Trade,Filled,-2.05,2026-05-13 22:50:00,0.09,KXBTC15M,no,market,41,loss
Settlement,Settled,0.00,2026-05-13 23:05:00,0.00,KXBTC15M,no,,41,loss
Trade,Filled,-5.00,2026-05-13 23:08:00,0.27,KXBTC15M,no,market,25,win
Settlement,Settled,20.00,2026-05-13 23:23:00,0.00,KXBTC15M,no,,25,win
Trade,Filled,-17.75,2026-05-13 20:44:00,0.00,KXBTC15M,no,limit,71,loss
Settlement,Settled,0.00,2026-05-13 20:59:00,0.00,KXBTC15M,no,,71,loss
Trade,Filled,-5.00,2026-05-14 03:38:00,0.00,KXBTC15M,yes,limit,25,loss
Settlement,Settled,0.00,2026-05-14 03:53:00,0.00,KXBTC15M,yes,,25,loss
Trade,Filled,-3.90,2026-05-14 00:07:00,0.00,KXBTC15M,yes,limit,39,win
Settlement,Settled,10.00,2026-05-14 00:22:00,0.00,KXBTC15M,yes,,39,win
Trade,Filled,-3.05,2026-05-14 03:35:00,0.09,KXBTC15M,no,market,61,loss
Settlement,Settled,0.00,2026-05-14 03:50:00,0.00,KXBTC15M,no,,61,loss
Trade,Filled,-10.20,2026-05-14 01:10:00,0.35,KXBTC15M,no,market,51,loss
Settlement,Settled,0.00,2026-05-14 01:25:00,0.00,KXBTC15M,no,,51,loss
Trade,Filled,-2.10,2026-05-14 02:35:00,0.09,KXBTCD,no,market,42,loss
Settlement,Settled,0.00,2026-05-14 02:50:00,0.00,KXBTCD,no,,42,loss
Trade,Filled,-39.00,2026-05-13 22:00:00,0.60,KXBTCD,no,market,78,loss
Settlement,Settled,0.00,2026-05-13 22:15:00,0.00,KXBTCD,no,,78,loss
Trade,Filled,-3.60,2026-05-13 19:49:00,0.17,KXBTC15M,yes,market,36,loss
Settlement,Settled,0.00,2026-05-13 20:04:00,0.00,KXBTC15M,yes,,36,loss
Trade,Filled,-1.25,2026-05-14 02:36:00,0.07,KXETHD,yes,market,25,loss
Settlement,Settled,0.00,2026-05-14 02:51:00,0.00,KXETHD,yes,,25,loss
Trade,Filled,-13.00,2026-05-14 02:43:00,0.68,KXBTC15M,no,market,26,loss
Settlement,Settled,0.00,2026-05-14 02:58:00,0.00,KXBTC15M,no,,26,loss
Trade,Filled,-3.40,2026-05-13 18:26:00,0.16,KXBTC15M,no,market,34,loss
Settlement,Settled,0.00,2026-05-13 18:41:00,0.00,KXBTC15M,no,,34,loss
Trade,Filled,-14.00,2026-05-13 20:49:00,0.71,KXBTC15M,no,market,28,loss
Settlement,Settled,0.00,2026-05-13 21:04:00,0.00,KXBTC15M,no,,28,loss
Trade,Filled,-7.80,2026-05-13 23:31:00,0.12,KXBTC15M,no,market,78,loss
Settlement,Settled,0.00,2026-05-13 23:46:00,0.00,KXBTC15M,no,,78,loss
Trade,Filled,-5.00,2026-05-13 22:29:00,0.18,KXETHD,yes,market,50,loss
Settlement,Settled,0.00,2026-05-13 22:44:00,0.00,KXETHD,yes,,50,loss
Trade,Filled,-22.00,2026-05-14 00:53:00,0.70,KXBTC15M,no,market,55,loss
Settlement,Settled,0.00,2026-05-14 01:08:00,0.00,KXBTC15M,no,,55,loss
Trade,Filled,-10.40,2026-05-13 22:30:00,0.00,KXBTC15M,no,limit,26,win
Settlement,Settled,40.00,2026-05-13 22:45:00,0.00,KXBTC15M,no,,26,win
Trade,Filled,-28.00,2026-05-13 22:18:00,0.59,KXINXD,no,market,70,loss
Settlement,Settled,0.00,2026-05-13 22:33:00,0.00,KXINXD,no,,70,loss
Trade,Filled,-3.80,2026-05-14 00:17:00,0.17,KXHIGHNY,yes,market,38,loss
Settlement,Settled,0.00,2026-05-14 00:32:00,0.00,KXHIGHNY,yes,,38,loss
Trade,Filled,-2.60,2026-05-13 21:55:00,0.00,KXBTC15M,no,limit,26,loss
Settlement,Settled,0.00,2026-05-13 22:10:00,0.00,KXBTC15M,no,,26,loss
Trade,Filled,-8.00,2026-05-14 03:59:00,0.45,KXBTC15M,yes,market,20,loss
Settlement,Settled,0.00,2026-05-14 04:14:00,0.00,KXBTC15M,yes,,20,loss
Trade,Filled,-8.50,2026-05-14 01:22:00,0.00,KXBTCD,yes,limit,85,loss
Settlement,Settled,0.00,2026-05-14 01:37:00,0.00,KXBTCD,yes,,85,loss
Trade,Filled,-1.30,2026-05-14 18:46:00,0.07,KXBTC15M,no,market,26,win
Settlement,Settled,5.00,2026-05-14 19:01:00,0.00,KXBTC15M,no,,26,win
Trade,Filled,-9.60,2026-05-15 02:55:00,0.35,KXBTC15M,yes,market,48,loss
Settlement,Settled,0.00,2026-05-15 03:10:00,0.00,KXBTC15M,yes,,48,loss
Trade,Filled,-4.00,2026-05-15 00:15:00,0.17,KXBTCD,yes,market,40,loss
Settlement,Settled,0.00,2026-05-15 00:30:00,0.00,KXBTCD,yes,,40,loss
Trade,Filled,-11.20,2026-05-15 01:41:00,0.57,KXBTC15M,no,market,28,loss
Settlement,Settled,0.00,2026-05-15 01:56:00,0.00,KXBTC15M,no,,28,loss
Trade,Filled,-10.80,2026-05-14 22:30:00,0.00,KXBTC15M,no,limit,27,loss
Settlement,Settled,0.00,2026-05-14 22:45:00,0.00,KXBTC15M,no,,27,loss
Trade,Filled,-5.10,2026-05-15 02:50:00,0.00,KXBTCD,yes,limit,51,win
Settlement,Settled,10.00,2026-05-15 03:05:00,0.00,KXBTCD,yes,,51,win
Trade,Filled,-7.10,2026-05-15 03:04:00,0.15,KXBTC15M,yes,market,71,win
Settlement,Settled,10.00,2026-05-15 03:19:00,0.00,KXBTC15M,yes,,71,win
Trade,Filled,-4.50,2026-05-14 18:12:00,0.18,KXINXD,no,market,45,loss
Settlement,Settled,0.00,2026-05-14 18:27:00,0.00,KXINXD,no,,45,loss
Trade,Filled,-23.20,2026-05-15 23:16:00,0.69,KXBTC15M,no,market,58,win
Settlement,Settled,40.00,2026-05-15 23:31:00,0.00,KXBTC15M,no,,58,win
Trade,Filled,-3.95,2026-05-16 00:24:00,0.06,KXBTCD,no,market,79,loss
Settlement,Settled,0.00,2026-05-16 00:39:00,0.00,KXBTCD,no,,79,loss
Trade,Filled,-5.30,2026-05-15 21:51:00,0.18,KXBTC15M,yes,market,53,loss
Settlement,Settled,0.00,2026-05-15 22:06:00,0.00,KXBTC15M,yes,,53,loss
Trade,Filled,-30.00,2026-05-16 18:53:00,0.53,KXBTC15M,no,market,75,loss
Settlement,Settled,0.00,2026-05-16 19:08:00,0.00,KXBTC15M,no,,75,loss
Trade,Filled,-4.20,2026-05-16 21:42:00,0.05,KXBTC15M,yes,market,84,loss
Settlement,Settled,0.00,2026-05-16 21:57:00,0.00,KXBTC15M,yes,,84,loss
Trade,Filled,-8.80,2026-05-16 20:43:00,0.35,KXBTC15M,yes,market,44,loss
Settlement,Settled,0.00,2026-05-16 20:58:00,0.00,KXBTC15M,yes,,44,loss
Trade,Filled,-40.00,2026-05-17 03:09:00,0.56,KXBTCD,yes,market,80,win
Settlement,Settled,50.00,2026-05-17 03:24:00,0.00,KXBTCD,yes,,80,win
Trade,Filled,-29.50,2026-05-17 21:59:00,0.85,KXHIGHNY,yes,market,59,loss
Settlement,Settled,0.00,2026-05-17 22:14:00,0.00,KXHIGHNY,yes,,59,loss
Trade,Filled,-1.15,2026-05-17 20:28:00,0.07,KXBTC15M,yes,market,23,loss
Settlement,Settled,0.00,2026-05-17 20:43:00,0.00,KXBTC15M,yes,,23,loss
Trade,Filled,-1.15,2026-05-17 20:25:00,0.07,KXBTC15M,yes,market,23,win
Settlement,Settled,5.00,2026-05-17 20:40:00,0.00,KXBTC15M,yes,,23,win
Trade,Filled,-6.60,2026-05-17 18:47:00,0.00,KXBTC15M,yes,limit,66,loss
Settlement,Settled,0.00,2026-05-17 19:02:00,0.00,KXBTC15M,yes,,66,loss
Trade,Filled,-4.60,2026-05-17 19:49:00,0.18,KXBTC15M,yes,market,46,win
Settlement,Settled,10.00,2026-05-17 20:04:00,0.00,KXBTC15M,yes,,46,win
Trade,Filled,-3.20,2026-05-17 22:54:00,0.16,KXBTCD,yes,market,32,loss
Settlement,Settled,0.00,2026-05-17 23:09:00,0.00,KXBTCD,yes,,32,loss
Trade,Filled,-7.40,2026-05-17 23:26:00,0.14,KXBTC15M,no,market,74,loss
Settlement,Settled,0.00,2026-05-17 23:41:00,0.00,KXBTC15M,no,,74,loss
Trade,Filled,-30.50,2026-05-17 18:49:00,0.00,KXBTC15M,no,limit,61,loss
Settlement,Settled,0.00,2026-05-17 19:04:00,0.00,KXBTC15M,no,,61,loss
Trade,Filled,-4.60,2026-05-17 18:31:00,0.25,KXBTCD,yes,market,23,loss
Settlement,Settled,0.00,2026-05-17 18:46:00,0.00,KXBTCD,yes,,23,loss
Trade,Filled,-18.80,2026-05-18 02:00:00,0.00,KXBTC15M,yes,limit,47,loss
Settlement,Settled,0.00,2026-05-18 02:15:00,0.00,KXBTC15M,yes,,47,loss
Trade,Filled,-5.00,2026-05-17 20:54:00,0.28,KXBTCD,yes,market,20,win
Settlement,Settled,25.00,2026-05-17 21:09:00,0.00,KXBTCD,yes,,20,win
Trade,Filled,-6.40,2026-05-17 23:56:00,0.31,KXBTCD,yes,market,32,loss
Settlement,Settled,0.00,2026-05-18 00:11:00,0.00,KXBTCD,yes,,32,loss
Trade,Filled,-13.25,2026-05-17 23:55:00,0.00,KXETHD,no,limit,53,loss
Settlement,Settled,0.00,2026-05-18 00:10:00,0.00,KXETHD,no,,53,loss
Trade,Filled,-2.05,2026-05-17 21:57:00,0.00,KXBTCD,yes,limit,41,loss
Settlement,Settled,0.00,2026-05-17 22:12:00,0.00,KXBTCD,yes,,41,loss
Trade,Filled,-6.10,2026-05-18 03:34:00,0.17,KXBTC15M,no,market,61,win
Settlement,Settled,10.00,2026-05-18 03:49:00,0.00,KXBTC15M,no,,61,win
Trade,Filled,-6.70,2026-05-18 01:12:00,0.16,KXBTC15M,no,market,67,loss
Settlement,Settled,0.00,2026-05-18 01:27:00,0.00,KXBTC15M,no,,67,loss
Trade,Filled,-7.80,2026-05-18 00:28:00,0.12,KXBTC15M,yes,market,78,loss
Settlement,Settled,0.00,2026-05-18 00:43:00,0.00,KXBTC15M,yes,,78,loss
Trade,Filled,-19.50,2026-05-18 03:55:00,0.00,KXBTC15M,no,limit,39,loss
Settlement,Settled,0.00,2026-05-18 04:10:00,0.00,KXBTC15M,no,,39,loss
Trade,Filled,-4.90,2026-05-19 01:29:00,0.18,KXBTC15M,yes,market,49,loss
Settlement,Settled,0.00,2026-05-19 01:44:00,0.00,KXBTC15M,yes,,49,loss
Trade,Filled,-15.60,2026-05-18 22:33:00,0.67,KXBTC15M,yes,market,39,loss
Settlement,Settled,0.00,2026-05-18 22:48:00,0.00,KXBTC15M,yes,,39,loss
Trade,Filled,-4.00,2026-05-19 02:54:00,0.17,KXBTC15M,yes,market,40,loss
Settlement,Settled,0.00,2026-05-19 03:09:00,0.00,KXBTC15M,yes,,40,loss
Trade,Filled,-3.30,2026-05-18 19:44:00,0.16,KXBTC15M,yes,market,33,loss
Settlement,Settled,0.00,2026-05-18 19:59:00,0.00,KXBTC15M,yes,,33,loss
Trade,Filled,-5.50,2026-05-18 23:04:00,0.18,KXBTCD,yes,market,55,loss
Settlement,Settled,0.00,2026-05-18 23:19:00,0.00,KXBTCD,yes,,55,loss
Trade,Filled,-3.95,2026-05-18 21:31:00,0.06,KXBTCD,no,market,79,loss
Settlement,Settled,0.00,2026-05-18 21:46:00,0.00,KXBTCD,no,,79,loss
Trade,Filled,-2.20,2026-05-19 23:03:00,0.12,KXBTCD,no,market,22,win
Settlement,Settled,10.00,2026-05-19 23:18:00,0.00,KXBTCD,no,,22,win
Trade,Filled,-36.50,2026-05-19 22:08:00,0.69,KXBTCD,yes,market,73,loss
Settlement,Settled,0.00,2026-05-19 22:23:00,0.00,KXBTCD,yes,,73,loss
Trade,Filled,-7.50,2026-05-19 20:07:00,0.14,KXBTCD,yes,market,75,loss
Settlement,Settled,0.00,2026-05-19 20:22:00,0.00,KXBTCD,yes,,75,loss
Trade,Filled,-26.00,2026-05-21 00:49:00,0.88,KXBTC15M,no,market,52,win
Settlement,Settled,50.00,2026-05-21 01:04:00,0.00,KXBTC15M,no,,52,win
Trade,Filled,-17.20,2026-05-21 00:59:00,0.69,KXETHD,yes,market,43,loss
Settlement,Settled,0.00,2026-05-21 01:14:00,0.00,KXETHD,yes,,43,loss
Trade,Filled,-2.40,2026-05-21 02:21:00,0.13,KXBTC15M,yes,market,24,loss
Settlement,Settled,0.00,2026-05-21 02:36:00,0.00,KXBTC15M,yes,,24,loss
Trade,Filled,-16.00,2026-05-21 02:51:00,0.77,KXBTC15M,yes,market,32,loss
Settlement,Settled,0.00,2026-05-21 03:06:00,0.00,KXBTC15M,yes,,32,loss
Trade,Filled,-16.75,2026-05-21 02:44:00,0.39,KXBTC15M,no,market,67,loss
Settlement,Settled,0.00,2026-05-21 02:59:00,0.00,KXBTC15M,no,,67,loss
Trade,Filled,-42.50,2026-05-20 21:08:00,0.00,KXBTCD,no,limit,85,win
Settlement,Settled,50.00,2026-05-20 21:23:00,0.00,KXBTCD,no,,85,win
Trade,Filled,-13.60,2026-05-20 22:18:00,0.31,KXBTC15M,yes,market,68,loss
Settlement,Settled,0.00,2026-05-20 22:33:00,0.00,KXBTC15M,yes,,68,loss
Trade,Filled,-2.65,2026-05-21 01:10:00,0.09,KXBTC15M,no,market,53,loss
Settlement,Settled,0.00,2026-05-21 01:25:00,0.00,KXBTC15M,no,,53,loss
Trade,Filled,-4.10,2026-05-22 01:53:00,0.00,KXBTC15M,yes,limit,41,loss
Settlement,Settled,0.00,2026-05-22 02:08:00,0.00,KXBTC15M,yes,,41,loss
Trade,Filled,-24.00,2026-05-22 02:00:00,0.00,KXINXD,no,limit,48,loss
Settlement,Settled,0.00,2026-05-22 02:15:00,0.00,KXINXD,no,,48,loss
Trade,Filled,-18.00,2026-05-22 01:59:00,0.00,KXBTC15M,no,limit,36,loss
Settlement,Settled,0.00,2026-05-22 02:14:00,0.00,KXBTC15M,no,,36,loss
Trade,Filled,-10.40,2026-05-21 22:33:00,0.35,KXBTCD,no,market,52,win
Settlement,Settled,20.00,2026-05-21 22:48:00,0.00,KXBTCD,no,,52,win
Trade,Filled,-20.40,2026-05-21 22:47:00,0.70,KXBTC15M,no,market,51,loss
Settlement,Settled,0.00,2026-05-21 23:02:00,0.00,KXBTC15M,no,,51,loss
Trade,Filled,-6.60,2026-05-22 01:18:00,0.00,KXBTC15M,no,limit,66,win
Settlement,Settled,10.00,2026-05-22 01:33:00,0.00,KXBTC15M,no,,66,win
Trade,Filled,-30.50,2026-05-21 19:27:00,0.00,KXHIGHNY,no,limit,61,win
Settlement,Settled,50.00,2026-05-21 19:42:00,0.00,KXHIGHNY,no,,61,win
Trade,Filled,-11.60,2026-05-21 18:11:00,0.58,KXBTC15M,yes,market,29,loss
Settlement,Settled,0.00,2026-05-21 18:26:00,0.00,KXBTC15M,yes,,29,loss
Trade,Filled,-7.70,2026-05-21 21:59:00,0.13,KXBTC15M,yes,market,77,loss
Settlement,Settled,0.00,2026-05-21 22:14:00,0.00,KXBTC15M,yes,,77,loss
Trade,Filled,-12.40,2026-05-22 03:07:00,0.00,KXBTC15M,no,limit,31,loss
Settlement,Settled,0.00,2026-05-22 03:22:00,0.00,KXBTC15M,no,,31,loss
Trade,Filled,-12.00,2026-05-22 02:26:00,0.00,KXBTC15M,yes,limit,30,win
Settlement,Settled,40.00,2026-05-22 02:41:00,0.00,KXBTC15M,yes,,30,win
Trade,Filled,-24.50,2026-05-21 22:30:00,0.88,KXBTCD,no,market,49,win
Settlement,Settled,50.00,2026-05-21 22:45:00,0.00,KXBTCD,no,,49,win
Trade,Filled,-15.20,2026-05-22 02:15:00,0.66,KXBTCD,no,market,38,loss
Settlement,Settled,0.00,2026-05-22 02:30:00,0.00,KXBTCD,no,,38,loss
Trade,Filled,-20.00,2026-05-22 03:12:00,0.84,KXBTC15M,no,market,40,loss
Settlement,Settled,0.00,2026-05-22 03:27:00,0.00,KXBTC15M,no,,40,loss
Trade,Filled,-14.80,2026-05-22 01:56:00,0.00,KXBTC15M,yes,limit,74,loss
Settlement,Settled,0.00,2026-05-22 02:11:00,0.00,KXBTC15M,yes,,74,loss
Trade,Filled,-5.50,2026-05-22 00:09:00,0.30,KXBTC15M,no,market,22,win
Settlement,Settled,25.00,2026-05-22 00:24:00,0.00,KXBTC15M,no,,22,win
Trade,Filled,-41.00,2026-05-22 02:42:00,0.00,KXBTCD,yes,limit,82,loss
Settlement,Settled,0.00,2026-05-22 02:57:00,0.00,KXBTCD,yes,,82,loss
Trade,Filled,-3.15,2026-05-22 01:05:00,0.00,KXBTC15M,no,limit,63,loss
Settlement,Settled,0.00,2026-05-22 01:20:00,0.00,KXBTC15M,no,,63,loss
Trade,Filled,-4.60,2026-05-23 02:58:00,0.18,KXINXD,no,market,46,loss
Settlement,Settled,0.00,2026-05-23 03:13:00,0.00,KXINXD,no,,46,loss
Trade,Filled,-5.70,2026-05-23 03:27:00,0.18,KXBTC15M,no,market,57,loss
Settlement,Settled,0.00,2026-05-23 03:42:00,0.00,KXBTC15M,no,,57,loss
Trade,Filled,-27.00,2026-05-22 23:41:00,0.87,KXETHD,yes,market,54,loss
Settlement,Settled,0.00,2026-05-22 23:56:00,0.00,KXETHD,yes,,54,loss
Trade,Filled,-4.40,2026-05-22 20:00:00,0.18,KXBTC15M,yes,market,44,win
Settlement,Settled,10.00,2026-05-22 20:15:00,0.00,KXBTC15M,yes,,44,win
Trade,Filled,-17.75,2026-05-22 18:41:00,0.36,KXBTCD,no,market,71,loss
Settlement,Settled,0.00,2026-05-22 18:56:00,0.00,KXBTCD,no,,71,loss
Trade,Filled,-2.50,2026-05-22 19:51:00,0.00,KXBTC15M,no,limit,25,win
Settlement,Settled,10.00,2026-05-22 20:06:00,0.00,KXBTC15M,no,,25,win
Trade,Filled,-15.20,2026-05-24 03:16:00,0.66,KXBTCD,yes,market,38,loss
Settlement,Settled,0.00,2026-05-24 03:31:00,0.00,KXBTCD,yes,,38,loss
Trade,Filled,-2.10,2026-05-23 18:40:00,0.09,KXBTCD,yes,market,42,loss
Settlement,Settled,0.00,2026-05-23 18:55:00,0.00,KXBTCD,yes,,42,loss
Trade,Filled,-33.50,2026-05-23 19:43:00,0.00,KXBTC15M,no,limit,67,loss
Settlement,Settled,0.00,2026-05-23 19:58:00,0.00,KXBTC15M,no,,67,loss
